Series ID,Year,Period,Label,Value
CIU2022300000000I,2009,Q01,2009 Qtr1,111.2
CIU2022300000000I,2009,Q02,2009 Qtr2,111.4
CIU2022300000000I,2009,Q03,2009 Qtr3,111.7
CIU2022300000000I,2009,Q04,2009 Qtr4,111.9
CIU2022300000000I,2010,Q01,2010 Qtr1,112.1
CIU2022300000000I,2010,Q02,2010 Qtr2,112.2
CIU2022300000000I,2010,Q03,2010 Qtr3,112.8
CIU2022300000000I,2010,Q04,2010 Qtr4,112.7
CIU2022300000000I,2011,Q01,2011 Qtr1,112.7
CIU2022300000000I,2011,Q02,2011 Qtr2,113.2
CIU2022300000000I,2011,Q03,2011 Qtr3,113.6
CIU2022300000000I,2011,Q04,2011 Qtr4,114.1
CIU2022300000000I,2012,Q01,2012 Qtr1,113.9
CIU2022300000000I,2012,Q02,2012 Qtr2,114.4
CIU2022300000000I,2012,Q03,2012 Qtr3,115.2
CIU2022300000000I,2012,Q04,2012 Qtr4,115.5
CIU2022300000000I,2013,Q01,2013 Qtr1,115.8
CIU2022300000000I,2013,Q02,2013 Qtr2,116.4
CIU2022300000000I,2013,Q03,2013 Qtr3,117.3
CIU2022300000000I,2013,Q04,2013 Qtr4,117.4
CIU2022300000000I,2014,Q01,2014 Qtr1,117.3
CIU2022300000000I,2014,Q02,2014 Qtr2,117.8
CIU2022300000000I,2014,Q03,2014 Qtr3,119.0
CIU2022300000000I,2014,Q04,2014 Qtr4,119.6
CIU2022300000000I,2015,Q01,2015 Qtr1,119.7
CIU2022300000000I,2015,Q02,2015 Qtr2,120.6
CIU2022300000000I,2015,Q03,2015 Qtr3,121.8
CIU2022300000000I,2015,Q04,2015 Qtr4,122.7
CIU2022300000000I,2016,Q01,2016 Qtr1,122.8
CIU2022300000000I,2016,Q02,2016 Qtr2,123.9
CIU2022300000000I,2016,Q03,2016 Qtr3,124.2
CIU2022300000000I,2016,Q04,2016 Qtr4,125.3
CIU2022300000000I,2017,Q01,2017 Qtr1,126.1
CIU2022300000000I,2017,Q02,2017 Qtr2,126.8
CIU2022300000000I,2017,Q03,2017 Qtr3,127.9
CIU2022300000000I,2017,Q04,2017 Qtr4,128.4
CIU2022300000000I,2018,Q01,2018 Qtr1,129.5
CIU2022300000000I,2018,Q02,2018 Qtr2,130.9
CIU2022300000000I,2018,Q03,2018 Qtr3,131.8
CIU2022300000000I,2018,Q04,2018 Qtr4,132.4
CIU2022300000000I,2019,Q01,2019 Qtr1,133.3
CIU2022300000000I,2019,Q02,2019 Qtr2,134.7
CIU2022300000000I,2019,Q03,2019 Qtr3,136.7
CIU2022300000000I,2019,Q04,2019 Qtr4,137.4
CIU2022300000000I,2020,Q01,2020 Qtr1,138.0
CIU2022300000000I,2020,Q02,2020 Qtr2,139.9
CIU2022300000000I,2020,Q03,2020 Qtr3,140.5
CIU2022300000000I,2020,Q04,2020 Qtr4,141.2
CIU2022300000000I,2021,Q01,2021 Qtr1,142.1
CIU2022300000000I,2021,Q02,2021 Qtr2,144.4
CIU2022300000000I,2021,Q03,2021 Qtr3,145.1
CIU2022300000000I,2021,Q04,2021 Qtr4,146.6
CIU2022300000000I,2022,Q01,2022 Qtr1,147.2
CIU2022300000000I,2022,Q02,2022 Qtr2,150.7
CIU2022300000000I,2022,Q03,2022 Qtr3,151.9
CIU2022300000000I,2022,Q04,2022 Qtr4,153.6
CIU2022300000000I,2023,Q01,2023 Qtr1,155.6
CIU2022300000000I,2023,Q02,2023 Qtr2,157.6
CIU2022300000000I,2023,Q03,2023 Qtr3,158.7
